;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
26;supply;lr;0;(False, True, False);48;3.0;144;;;;Adam;;minmax;0.0430407524108886;0.4058601856231689;1110430.5;778.8850708007812;623.278076171875;0.0447376616973768;0.0472235791385173;;
27;supply;lr;0;(False, True, False);48;3.5;168;;;;Adam;;minmax;0.0156295299530029;0.1088261604309082;1117514.25;782.057861328125;626.3575439453125;0.0449821800525684;0.0474606193602085;;
28;supply;rf;0;(300, 10, 2, 3);48;0.5;24;;;;Adam;;minmax;0.5728340148925781;9.448471546173096;1181663.7739018232;837.5822575479957;693.6875370412241;0.0476128170513948;0.0499632629664324;;
29;supply;rf;0;(300, 10, 2, 3);48;1.0;48;;;;Adam;;minmax;0.2575223445892334;18.052653312683105;1153720.5083316984;832.6732699852073;691.3551540149792;0.0473383588466714;0.0496693329664793;;
30;supply;rf;0;(300, 10, 2, 3);48;1.5;72;;;;Adam;;minmax;0.5078630447387695;24.74798583984375;1145203.0373128192;830.2626281892241;690.297378712072;0.0472427137019479;0.0495634235143702;;
31;supply;rf;0;(300, 10, 2, 3);48;2.0;96;;;;Adam;;minmax;0.5181834697723389;35.61109948158264;1141658.3945152718;830.7579078305024;691.4027559896126;0.0472964927567272;0.0496039126477301;;
32;supply;rf;0;(300, 10, 2, 3);48;2.5;120;;;;Adam;;minmax;0.5102229118347168;34.4298951625824;1162453.766985241;843.7208004998082;704.774006654069;0.048064791284723;0.0503734180842267;;
33;supply;rf;0;(300, 10, 2, 3);48;3.0;144;;;;Adam;;minmax;0.6063394546508789;36.86917304992676;1185968.7816281382;853.3671826753283;713.9520476030297;0.0486034924626685;0.0509312325046798;;
34;supply;rf;0;(300, 10, 2, 3);48;3.5;168;;;;Adam;;minmax;0.5078232288360596;43.06608533859253;1197823.4314253095;858.2774373938641;718.537002627209;0.0489041269403074;0.0512428550953332;;
35;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);48;0.5;24;;;;Adam;;minmax;0.1756517887115478;6667.841440200806;1113983.75;763.8136596679688;623.4591064453125;0.0415137630645698;0.0434037931263446;;
36;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);48;1.0;48;;;;Adam;;minmax;0.1895670890808105;7525.986275672913;1096336.0;728.0056762695312;588.754150390625;0.0395785195308306;0.0414968058466911;;
37;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);48;1.5;72;;;;Adam;;minmax;0.1605417728424072;7936.522677659988;1087248.25;732.520263671875;593.99853515625;0.0396069102495499;0.0414307452738285;;
38;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);48;2.0;96;;;;Adam;;minmax;0.186176061630249;8243.597966432571;1119461.0;750.730712890625;611.9356689453125;0.0405538924190986;0.0423158295452594;;
39;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);48;2.5;120;;;;Adam;;minmax;0.1791942119598388;8293.541722774506;1277231.0;828.8155517578125;682.5907592773438;0.0444469790574746;0.0461355820298194;;
40;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);48;3.0;144;;;;Adam;;minmax;0.1795835494995117;8877.951847076416;1581587.125;933.7476196289062;785.7593383789062;0.0502965183444472;0.0519473031163215;;
41;supply;xgb;0;('gbtree', 300, 10, 0.8, 0.5, 6);48;3.5;168;;;;Adam;;minmax;0.1898529529571533;9108.08696436882;1710971.5;977.5866088867188;831.767578125;0.0530206558350996;0.0546214915812015;;
42;supply;lr;0;(False, True, False);72;0.333334;24;;;;Adam;;minmax;0.0013196468353271;0.0288326740264892;1459621.375;917.8375854492188;728.2288818359375;0.0521289016897505;0.0550028271973133;;
43;supply;lr;0;(False, True, False);72;0.666667;48;;;;Adam;;minmax;0.0420424938201904;2.4494333267211914;1349594.625;889.7269287109375;707.364501953125;0.0506308171761807;0.0535133443772792;;
44;supply;lr;0;(False, True, False);72;1.0;72;;;;Adam;;minmax;0.0219676494598388;0.0449514389038085;1318610.875;877.69873046875;697.0462036132812;0.0498444324604059;0.0527170039713382;;
45;supply;lr;0;(False, True, False);72;1.333334;96;;;;Adam;;minmax;0.042346715927124;4.472053289413452;1311857.0;874.2694091796875;693.407470703125;0.0495783612191066;0.0524949096143245;;
46;supply;lr;0;(False, True, False);72;1.666667;120;;;;Adam;;minmax;0.0460186004638671;6.395966291427612;1314466.75;876.2825927734375;694.61376953125;0.0496498501577697;0.0526011474430561;;
47;supply;lr;0;(False, True, False);72;2.0;144;;;;Adam;;minmax;0.0138521194458007;6.969971179962158;1322182.625;879.8804321289062;697.8358154296875;0.0498865914064386;0.0528482347726821;;
