;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
34;demand;rf;0;(300, 10, 4, 1);48;3.5;168;;;;Adam;;minmax;0.165581464767456;59.12029337882996;2392329.1728151827;1189.518944364842;1025.292166374718;0.0485608430787139;0.0490980576352723;;
35;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);48;0.5;24;;;;Adam;;minmax;0.1685330867767334;6790.208753585815;2205184.5;1020.7894287109376;848.3964233398438;0.0394424900967851;0.0401496589183807;;
36;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);48;1.0;48;;;;Adam;;minmax;0.1870450973510742;8117.171989202499;2145587.25;994.6334838867188;833.9088134765625;0.0389129979262375;0.0391700565814971;;
37;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);48;1.5;72;;;;Adam;;minmax;0.1783909797668457;7965.631040811539;2172596.25;1030.3194580078125;869.4493408203125;0.0403670162850089;0.0406291931867599;;
38;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);48;2.0;96;;;;Adam;;minmax;0.169804573059082;8616.802333831787;2333627.0;1078.0394287109375;912.2416381835938;0.0422220103741929;0.0425339117646217;;
39;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);48;2.5;120;;;;Adam;;minmax;0.1868460178375244;8695.082423686981;2558739.75;1140.92431640625;962.5131225585938;0.0445197065367979;0.0447072423994541;;
40;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);48;3.0;144;;;;Adam;;minmax;0.1726424694061279;9104.065199613571;2740464.25;1192.587646484375;1011.5265502929688;0.0466345708504011;0.0467544049024581;;
41;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);48;3.5;168;;;;Adam;;minmax;0.1054997444152832;7515.633733034134;2763565.5;1211.8670654296875;1035.2708740234375;0.0477518731575768;0.0477696657180786;;
42;demand;lr;0;(False, True, False);72;0.333334;24;;;;Adam;;minmax;0.0012617111206054;0.0217659473419189;2343360.5;969.2559204101562;815.0429077148438;0.0433804204818598;0.0441464968025684;;
43;demand;lr;0;(False, True, False);72;0.666667;48;;;;Adam;;minmax;0.0026359558105468;0.032536506652832;2194789.0;939.034912109375;787.3045654296875;0.0419727206054442;0.0429384410381317;;
44;demand;lr;0;(False, True, False);72;1.0;72;;;;Adam;;minmax;0.0016241073608398;0.0379533767700195;2163189.5;934.0767211914062;784.3678588867188;0.0418378089143754;0.0428889133036136;;
45;demand;lr;0;(False, True, False);72;1.333334;96;;;;Adam;;minmax;0.0018212795257568;0.0476813316345214;2179585.25;938.2073974609376;787.8977661132812;0.0420209141704884;0.0431124232709407;;
46;demand;lr;0;(False, True, False);72;1.666667;120;;;;Adam;;minmax;0.0129380226135253;0.0654675960540771;2188277.25;940.984619140625;789.83740234375;0.0420867614411013;0.0431679375469684;;
47;demand;lr;0;(False, True, False);72;2.0;144;;;;Adam;;minmax;0.0021283626556396;0.0704042911529541;2183029.25;942.9451293945312;791.3408813476562;0.042136245647466;0.0431937277317047;;
48;demand;lr;0;(False, True, False);72;2.333334;168;;;;Adam;;minmax;0.0095934867858886;0.0816035270690918;2179172.25;945.0924072265624;793.0811767578125;0.0422281190999204;0.0432739779353141;;
49;demand;rf;0;(300, 10, 4, 1);72;0.333334;24;;;;Adam;;minmax;0.1123991012573242;7.479849576950073;2843363.8005485693;1286.2153400369698;1096.1414725243662;0.0527767418738484;0.0532704342410271;;
50;demand;rf;0;(300, 10, 4, 1);72;0.666667;48;;;;Adam;;minmax;0.1109240055084228;20.11632013320923;2784748.638695924;1286.5372531403948;1099.2991960463462;0.0529162243147171;0.0533899426048199;;
51;demand;rf;0;(300, 10, 4, 1);72;1.0;72;;;;Adam;;minmax;0.1047935485839843;34.01183319091797;2754845.922555159;1286.673754520088;1100.0263886860366;0.0528938326871166;0.0533277752855767;;
52;demand;rf;0;(300, 10, 4, 1);72;1.333334;96;;;;Adam;;minmax;0.5287928581237793;43.04152250289917;2759947.067528353;1290.505173272129;1102.8920553634844;0.0530045057044937;0.0534276820783827;;
53;demand;rf;0;(300, 10, 4, 1);72;1.666667;120;;;;Adam;;minmax;0.5883166790008545;57.53770875930786;2782342.8062445624;1297.6869544506417;1109.1550327645589;0.0532532402078773;0.053660266532964;;
54;demand;rf;0;(300, 10, 4, 1);72;2.0;144;;;;Adam;;minmax;0.5646774768829346;68.26490116119385;2791838.2506775786;1300.2713469276136;1110.829370916269;0.0533462855248355;0.0537517705008001;;
55;demand;rf;0;(300, 10, 4, 1);72;2.333334;168;;;;Adam;;minmax;0.2307305335998535;79.21687245368958;2802719.4629023024;1303.531358274756;1113.4507384166552;0.0534829417834268;0.0538741606870716;;
56;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);72;0.333334;24;;;;Adam;;minmax;0.2320694923400879;10204.716501235962;2719868.75;1171.2105712890625;974.691650390625;0.0458093894185194;0.0463258177042007;;
57;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);72;0.666667;48;;;;Adam;;minmax;0.225616455078125;11630.074214935305;2649419.5;1154.0081787109375;964.7845458984376;0.0453540465466131;0.0455352291464805;;
58;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);72;1.0;72;;;;Adam;;minmax;0.2339892387390136;12013.555896282196;2714473.25;1192.105712890625;1001.542724609375;0.0469888787854319;0.0471436120569705;;
59;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);72;1.333334;96;;;;Adam;;minmax;0.2387256622314453;13011.836282253264;2931580.5;1252.129638671875;1052.4459228515625;0.0491631893300666;0.0493315979838371;;
60;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);72;1.666667;120;;;;Adam;;minmax;0.2644898891448974;13234.886322498322;3278266.5;1330.852294921875;1123.3397216796875;0.0523166942391177;0.0524192675948143;;
61;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);72;2.0;144;;;;Adam;;minmax;0.2730834484100342;13826.256756544111;3328297.75;1359.647705078125;1154.93798828125;0.0539222674847004;0.0539237596094608;;
62;demand;xgb;0;('gbtree', 300, 10, 0.8, 0.8, 6);72;2.333334;168;;;;Adam;;minmax;0.1499416828155517;9810.080331087112;3349188.5;1374.1300048828125;1168.9224853515625;0.0546690001381684;0.0545640960335731;;
63;demand;lr;0;(False, True, False);168;0.14286;24;;;;Adam;;minmax;0.0680174827575683;0.5612795352935791;3800349.5;1383.7850341796875;1136.715087890625;0.0605475828078367;0.0614108480513095;;
64;demand;lr;0;(False, True, False);168;0.28572;48;;;;Adam;;minmax;0.0973215103149414;2.832378387451172;3729226.25;1368.1639404296875;1123.0628662109375;0.0598750695783966;0.0609367452561855;;
65;demand;lr;0;(False, True, False);168;0.42858;72;;;;Adam;;minmax;0.0528976917266845;3.562159299850464;3751450.0;1372.5087890625;1128.569091796875;0.0602097069127465;0.0613366439938545;;
66;demand;lr;0;(False, True, False);168;0.571429;96;;;;Adam;;minmax;0.1237361431121826;5.734933614730835;3801594.75;1382.5745849609375;1137.932861328125;0.0607245455465418;0.0618824213743209;;
67;demand;lr;0;(False, True, False);168;0.714286;120;;;;Adam;;minmax;0.1252224445343017;5.1295928955078125;3806957.5;1385.4698486328125;1139.33203125;0.0607636204528748;0.0619009286165237;;
68;demand;lr;0;(False, True, False);168;0.857143;144;;;;Adam;;minmax;0.0936334133148193;6.077941179275513;3786811.0;1384.241455078125;1136.5009765625;0.0605468047875157;0.0616431310772895;;
