;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
44;demand;mlp;0;{'hidden_layers': [32]};48;0.5;1;32;200;657;Adam;0.001;minmax;0.0098750591278076;56.85459685325623;1929684.625;891.496826171875;756.46533203125;0.0398659446313766;0.0407127030193805;[0.052596524357795715, 0.027105268090963364, 0.025471536442637444, 0.02456148900091648, 0.024093052372336388, 0.023653823882341385, 0.023391222581267357, 0.023165348917245865, 0.023083636537194252, 0.02291758731007576, 0.022735338658094406, 0.022717837244272232, 0.022613631561398506, 0.022462457418441772, 0.02247120440006256, 0.022297324612736702, 0.022309742867946625, 0.02221919409930706, 0.02218303084373474, 0.02216326631605625, 0.022083066403865814, 0.022033050656318665, 0.022006310522556305, 0.022060859948396683, 0.021952655166387558, 0.021985406056046486, 0.021919120103120804, 0.02185479924082756, 0.021854184567928314];[0.0370420441031456, 0.03703790158033371, 0.034371379762887955, 0.034468237310647964, 0.03471846505999565, 0.032862842082977295, 0.032618723809719086, 0.03358859941363335, 0.032430171966552734, 0.032100822776556015, 0.032178912311792374, 0.032183997333049774, 0.03224605694413185, 0.03165384754538536, 0.03178713470697403, 0.03202300891280174, 0.031759947538375854, 0.031300563365221024, 0.03143911808729172, 0.03159526363015175, 0.03127093240618706, 0.032557275146245956, 0.03303367644548416, 0.03113526850938797, 0.03261839970946312, 0.031323786824941635, 0.03135998174548149, 0.03184286504983902, 0.0332944355905056]
45;demand;lstm;0;{'layers': 1, 'units': 128, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128]};48;0.5;1;64;200;329;Adam;0.001;minmax;0.0200498104095459;18.10158634185791;1880940.125;871.579345703125;738.2946166992188;0.0386660162332903;0.0392396673560142;[0.06828266382217407, 0.027623074129223824, 0.02599821612238884, 0.025115618482232094, 0.024312874302268028, 0.023928143084049225, 0.02377072535455227, 0.023258959874510765, 0.02316618710756302, 0.02301299013197422, 0.022730940952897072, 0.02270832285284996, 0.02262130193412304, 0.022570081055164337, 0.02252958156168461, 0.022381186485290527];[0.04052744805812836, 0.036330241709947586, 0.035728614777326584, 0.035413846373558044, 0.03420301899313927, 0.037154149264097214, 0.036746058613061905, 0.03451891615986824, 0.035137176513671875, 0.03376857936382294, 0.03218356892466545, 0.035047583281993866, 0.032265905290842056, 0.03240586072206497, 0.03226431831717491, 0.032511595636606216]
46;demand;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 3, 'return_sequences': False, 'tcn_dropout': 0.2, 'dense_dropout': 0.2, 'dense_layers': [64, 32]};48;0.5;1;64;200;329;Adam;0.001;minmax;0.0722150802612304;109.3478217124939;1889493.5;856.2177734375;723.4068603515625;0.0383026418609199;0.0391259752213954;[0.3314059376716614, 0.049031924456357956, 0.03450649976730347, 0.03004847653210163, 0.028180887922644615, 0.026901716366410255, 0.02618514560163021, 0.025734147056937218, 0.025261936709284782, 0.024645162746310234, 0.024189947172999382, 0.02397012710571289, 0.02391997165977955, 0.023608239367604256, 0.02342880144715309, 0.02326909825205803, 0.02311805821955204, 0.023040086030960083, 0.022922996431589127, 0.022874966263771057, 0.02275676093995571, 0.022618554532527924];[0.059905167669057846, 0.039624765515327454, 0.0358719602227211, 0.03480244427919388, 0.03447059169411659, 0.03395434096455574, 0.03449320048093796, 0.03353986144065857, 0.036405790597200394, 0.032651908695697784, 0.033630311489105225, 0.033813826739788055, 0.03214414045214653, 0.03402865305542946, 0.032163068652153015, 0.03251371532678604, 0.03174911066889763, 0.03302709385752678, 0.03265207260847092, 0.033379871398210526, 0.03192571923136711, 0.03184400871396065]
47;demand;mlp;0;{'hidden_layers': [32]};48;0.5;1;64;200;329;Adam;0.001;minmax;0.0072333812713623;12.841912508010864;1909995.75;871.9358520507812;739.8540649414062;0.0389696389963552;0.0395568013191223;[0.08883444964885712, 0.030645912513136864, 0.027278905734419823, 0.026243815198540688, 0.025504209101200104, 0.024984387680888176, 0.024456502869725227, 0.02412470430135727, 0.02389775775372982, 0.023647230118513107, 0.023506581783294678, 0.023268315941095352, 0.02313060499727726, 0.023042457178235054, 0.022915847599506378, 0.02285512536764145];[0.04565131664276123, 0.03742483630776405, 0.03709322586655617, 0.03498978167772293, 0.034676309674978256, 0.03444767743349075, 0.03406359627842903, 0.03409507870674133, 0.03311549872159958, 0.033026035875082016, 0.03228878229856491, 0.032659661024808884, 0.03276783600449562, 0.032323017716407776, 0.033892031759023666, 0.03257358446717262]
48;demand;lstm;0;{'layers': 1, 'units': 128, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128]};48;1.0;1;32;200;656;Adam;0.001;minmax;0.0216486454010009;28.46612811088562;1654042.375;825.1748657226562;698.8579711914062;0.03645901658582;0.0374216362833976;[0.045093994587659836, 0.025121334940195084, 0.023484965786337852, 0.0227754358202219, 0.022305093705654144, 0.02200443111360073, 0.021676138043403625, 0.02163836546242237, 0.021455399692058563, 0.02141825295984745, 0.02148098312318325, 0.02102135308086872, 0.021020209416747093, 0.020967992022633553];[0.03667037934064865, 0.03558536246418953, 0.03265123441815376, 0.03431814908981323, 0.03139722719788551, 0.031880203634500504, 0.0328824557363987, 0.03243083879351616, 0.030711758881807327, 0.03125618025660515, 0.03453800827264786, 0.03135359659790993, 0.03251205384731293, 0.030772419646382332]
49;demand;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 3, 'return_sequences': False, 'tcn_dropout': 0.2, 'dense_dropout': 0.2, 'dense_layers': [64, 32]};48;1.0;1;32;200;656;Adam;0.001;minmax;28.55403971672058;117.37144470214844;1746400.125;868.5830688476562;724.9677124023438;0.0380208227789372;0.0390078201889991;[0.23823194205760956, 0.03795895725488663, 0.029621807858347893, 0.02742026373744011, 0.02587469108402729, 0.024723708629608154, 0.024020753800868988, 0.023424871265888214, 0.0230536051094532, 0.022938665002584457, 0.02254081517457962, 0.022493818774819374];[0.04647735878825188, 0.03545096516609192, 0.037064991891384125, 0.03302938491106033, 0.03189387917518616, 0.03297809138894081, 0.03089621104300022, 0.03253640979528427, 0.03188667446374893, 0.03703057020902634, 0.031000744551420212, 0.031912874430418015]
50;demand;mlp;0;{'hidden_layers': [32]};48;1.0;1;32;200;656;Adam;0.001;minmax;0.0072791576385498;32.285988569259644;1689020.875;816.07275390625;680.9172973632812;0.0360034311336679;0.0369781181216239;[0.05658029392361641, 0.02732953615486622, 0.024897178635001183, 0.023924924433231354, 0.023178979754447937, 0.022817688062787056, 0.022319573909044266, 0.022169314324855804, 0.02196532115340233, 0.021720068529248238, 0.02174197882413864, 0.02161606214940548, 0.021446699276566505, 0.02130068652331829, 0.02127133309841156, 0.021162651479244232, 0.021113675087690353, 0.020962761715054512, 0.021007178351283073, 0.020955221727490425, 0.020931264385581017, 0.02080802246928215];[0.04045015946030617, 0.03476816043257713, 0.03258764371275902, 0.031862787902355194, 0.03195006400346756, 0.03195983171463013, 0.03107552044093609, 0.030696004629135132, 0.030763281509280205, 0.031362395733594894, 0.03057449869811535, 0.029962392523884773, 0.031779248267412186, 0.032122787088155746, 0.03007001429796219, 0.030060751363635063, 0.02995053492486477, 0.03076969087123871, 0.030071530491113663, 0.031628936529159546, 0.030171746388077736, 0.029980268329381943]
51;demand;lstm;0;{'layers': 1, 'units': 128, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128]};48;1.0;1;64;200;328;Adam;0.001;minmax;0.0333964824676513;22.31661939620972;1628317.75;805.7886962890625;678.45556640625;0.0355867221455229;0.0364946611225605;[0.060699570924043655, 0.026716742664575577, 0.024632472544908524, 0.023675285279750824, 0.022802436724305153, 0.022381164133548737, 0.02216477133333683, 0.02186303585767746, 0.02157701924443245, 0.021484365686774254, 0.021472781896591187, 0.021420935168862343, 0.02121768705546856, 0.02110515534877777, 0.021184062585234642, 0.021110456436872482, 0.0208713598549366, 0.0208840761333704, 0.02064625173807144, 0.020601307973265648];[0.04114754870533943, 0.03560793027281761, 0.033604055643081665, 0.03457675874233246, 0.036192093044519424, 0.0314888060092926, 0.03192318603396416, 0.03467952460050583, 0.030573775991797447, 0.03095834329724312, 0.030182546004652977, 0.03072848916053772, 0.0321492999792099, 0.029940001666545868, 0.0298627857118845, 0.030791448429226875, 0.0309432465583086, 0.02995230443775654, 0.02989191748201847, 0.0298784039914608]
52;demand;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 3, 'return_sequences': False, 'tcn_dropout': 0.2, 'dense_dropout': 0.2, 'dense_layers': [64, 32]};48;1.0;1;64;200;328;Adam;0.001;minmax;46.33265805244446;99.50455236434937;1710081.125;826.531005859375;697.5408325195312;0.0368037708448138;0.0377843230962753;[0.34837421774864197, 0.05176382139325142, 0.036681581288576126, 0.03145314007997513, 0.028915662318468094, 0.027265064418315887, 0.02641795575618744, 0.025219418108463287, 0.02466997690498829, 0.024182112887501717, 0.023777272552251816, 0.023330047726631165, 0.023451143875718117, 0.02273341454565525, 0.022817788645625114, 0.02253762260079384, 0.02216167561709881, 0.0220146756619215, 0.02215837500989437, 0.02203194610774517];[0.05759623274207115, 0.04084958881139755, 0.036747660487890244, 0.035059403628110886, 0.03390783816576004, 0.03312326967716217, 0.03221603110432625, 0.03294941410422325, 0.031957194209098816, 0.03242696076631546, 0.032752614468336105, 0.03317807614803314, 0.031112762168049812, 0.03064274974167347, 0.030442295596003532, 0.03324569761753082, 0.030483877286314964, 0.030731888487935066, 0.030712569132447243, 0.030692895874381065]
53;demand;mlp;0;{'hidden_layers': [32]};48;1.0;1;64;200;328;Adam;0.001;minmax;0.006166934967041;11.11925983428955;1745410.0;851.7584838867188;723.4277954101562;0.0379486610045593;0.0389153249561786;[0.07296764105558395, 0.02958335541188717, 0.02657991833984852, 0.025120479986071587, 0.02417934313416481, 0.02354535274207592, 0.02312541753053665, 0.022769391536712646, 0.02237599901854992, 0.022203940898180008, 0.0221260953694582, 0.02214432694017887, 0.021651767194271088];[0.04488585144281387, 0.03867936506867409, 0.03623836115002632, 0.0337047278881073, 0.03267757222056389, 0.032892078161239624, 0.03148799389600754, 0.030983678996562958, 0.031239015981554985, 0.031199447810649872, 0.031198495998978615, 0.031198816373944283, 0.031885676085948944]
54;demand;lstm;0;{'layers': 1, 'units': 128, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128]};48;1.5;1;32;200;656;Adam;0.001;minmax;0.0232367515563964;54.099889039993286;1559963.5;826.6024169921875;697.0109252929688;0.0361762881466787;0.0370823666453361;[0.04110019654035568, 0.02455614134669304, 0.02331424690783024, 0.02267829142510891, 0.022277522832155228, 0.021903490647673607, 0.021728698164224625, 0.021509209647774696, 0.02131231687963009, 0.021318605169653893, 0.021229244768619537, 0.021091321483254433, 0.020929843187332153, 0.020814994350075722, 0.02074856124818325, 0.02068549580872059, 0.020758122205734253, 0.020713739097118378, 0.02044646255671978, 0.02052767388522625, 0.02035737782716751, 0.02034175582230091, 0.020468998700380325, 0.020053178071975708, 0.020061857998371124, 0.020106298848986626, 0.020266348496079445, 0.02011682465672493];[0.040743388235569, 0.034520890563726425, 0.03424819931387901, 0.031529393047094345, 0.031972892582416534, 0.03201938048005104, 0.03086165525019169, 0.031062155961990356, 0.031199300661683083, 0.030786579474806786, 0.03634342551231384, 0.032520245760679245, 0.03640003874897957, 0.03390229120850563, 0.030764132738113403, 0.03210930526256561, 0.032625503838062286, 0.03028971515595913, 0.030362816527485847, 0.03151179105043411, 0.03703886270523071, 0.036167923361063004, 0.030050082132220268, 0.03023453615605831, 0.032439738512039185, 0.034281518310308456, 0.03952177241444588, 0.030688108876347542]
55;demand;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 3, 'return_sequences': False, 'tcn_dropout': 0.2, 'dense_dropout': 0.2, 'dense_layers': [64, 32]};48;1.5;1;32;200;656;Adam;0.001;minmax;36.366984128952026;109.7821409702301;1808627.25;942.0526123046876;778.1008911132812;0.0402888318769166;0.0413476936519146;[0.2400582730770111, 0.039754919707775116, 0.03053617849946022, 0.027365127578377724, 0.02569194883108139, 0.02535977028310299, 0.023986205458641052, 0.02381524071097374, 0.02348031848669052, 0.02309475466609001, 0.02315385639667511];[0.05028614401817322, 0.0386890284717083, 0.03671146556735039, 0.03784457966685295, 0.034033145755529404, 0.03324402496218681, 0.03809104114770889, 0.03471701964735985, 0.03535105288028717, 0.048320796340703964, 0.034292496740818024]
56;demand;mlp;0;{'hidden_layers': [32]};48;1.5;1;32;200;656;Adam;0.001;minmax;0.0110931396484375;22.98690724372864;1725579.125;858.23583984375;716.1582641601562;0.0377207981297172;0.0388351939618587;[0.05931881070137024, 0.02797890640795231, 0.02563594840466976, 0.024320699274539948, 0.023558827117085457, 0.02309318073093891, 0.02262055315077305, 0.022443348541855812, 0.022131897509098053, 0.0219222791492939, 0.021840881556272507, 0.0218837708234787, 0.02165626548230648, 0.021470217034220695, 0.021476807072758675];[0.04219178110361099, 0.039152707904577255, 0.03615303337574005, 0.03345175459980965, 0.03193218633532524, 0.03215690329670906, 0.03231692314147949, 0.03507590293884277, 0.03267282620072365, 0.030744411051273346, 0.03507036343216896, 0.033879492431879044, 0.03524027019739151, 0.03218758478760719, 0.031541142612695694]
57;demand;lstm;0;{'layers': 1, 'units': 128, 'return_sequence': False, 'recurrent_dropout': 0, 'dense_dropout': 0.2, 'dense_layers': [32, 64, 128]};48;1.5;1;64;200;328;Adam;0.001;minmax;0.0210328102111816;13.846229553222656;1667013.75;862.0682983398438;728.2713623046875;0.0376419312786898;0.0385210737586021;[0.055002372711896896, 0.025935031473636627, 0.023934699594974518, 0.02307109907269478, 0.022544773295521736, 0.022405564785003662, 0.02203455939888954, 0.021573638543486595, 0.021701142191886902, 0.021311499178409576, 0.021188879385590553, 0.02112024649977684, 0.0210640300065279];[0.039637818932533264, 0.038171712309122086, 0.03412079066038132, 0.03218263387680054, 0.03192348778247833, 0.031119711697101593, 0.03127399459481239, 0.0308945644646883, 0.038046304136514664, 0.03448453173041344, 0.03094014711678028, 0.03205567225813866, 0.03207291290163994]
58;demand;tcn;0;{'nb_stacks': 3, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 3, 'return_sequences': False, 'tcn_dropout': 0.2, 'dense_dropout': 0.2, 'dense_layers': [64, 32]};48;1.5;1;64;200;328;Adam;0.001;minmax;0.0734009742736816;96.21584391593932;1682362.0;817.26708984375;685.4659423828125;0.0364454358280486;0.0375609919428825;[0.3307802677154541, 0.053427804261446, 0.03708041086792946, 0.031516168266534805, 0.028223617002367973, 0.02677028998732567, 0.025287320837378502, 0.024810196831822395, 0.023890525102615356, 0.023617181926965714, 0.023327430710196495, 0.022931711748242378, 0.022876448929309845, 0.02248414233326912, 0.022333918139338493, 0.022271709516644478, 0.022041374817490578, 0.021936312317848206, 0.022001324221491814];[0.06192436441779137, 0.04477265104651451, 0.03731900081038475, 0.034613918513059616, 0.033578060567379, 0.03225816786289215, 0.032510075718164444, 0.031262386590242386, 0.033245012164115906, 0.0330485925078392, 0.03191018104553223, 0.03188274800777435, 0.03031999059021473, 0.029994310811161995, 0.03457169979810715, 0.031026864424347878, 0.033948689699172974, 0.030082300305366516, 0.030183982104063034]
