;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
54;supply;xgb;54;('gbtree', 100, 1, 1.0, 0.6, 5);24;3.0;1;;;;Adam;;minmax;0.0301554203033447;628.5967888832092;1055399.6;770.57086;637.4709;0.042460384956417;0.044005208;;
55;supply;xgb;55;('gbtree', 100, 1, 1.0, 0.6, 6);24;3.0;1;;;;Adam;;minmax;0.0343432426452636;982.8816375732422;1009266.44;737.6701;613.7411;0.0406523017161502;0.042136878;;
56;supply;xgb;56;('gbtree', 100, 1, 1.0, 0.8, 3);24;3.0;1;;;;Adam;;minmax;0.024285078048706;308.9229738712311;983354.94;765.7126;634.18207;0.0432111750131117;0.04488885;;
57;supply;xgb;57;('gbtree', 100, 1, 1.0, 0.8, 4);24;3.0;1;;;;Adam;;minmax;0.013385534286499;285.6215605735779;1038852.56;777.32837;641.51654;0.0431128649754255;0.044708677;;
58;supply;xgb;58;('gbtree', 100, 1, 1.0, 0.8, 5);24;3.0;1;;;;Adam;;minmax;0.0322999954223632;594.4559962749481;1024900.9;757.40265;625.1016;0.0417744755218483;0.04332306;;
59;supply;xgb;59;('gbtree', 100, 1, 1.0, 0.8, 6);24;3.0;1;;;;Adam;;minmax;0.0175044536590576;438.0274610519409;1046290.2;752.8593;626.2835;0.0412885568694749;0.042774774;;
60;supply;xgb;60;('gbtree', 100, 1, 1.0, 1.0, 3);24;3.0;1;;;;Adam;;minmax;0.0127041339874267;318.2440156936645;1024896.3;782.6874;646.71655;0.0438036310487135;0.045485683;;
61;supply;xgb;61;('gbtree', 100, 1, 1.0, 1.0, 4);24;3.0;1;;;;Adam;;minmax;0.0312452316284179;350.5824720859528;1061858.9;785.81744;647.4469;0.0433921611260511;0.04497766;;
62;supply;xgb;62;('gbtree', 100, 1, 1.0, 1.0, 5);24;3.0;1;;;;Adam;;minmax;0.0361475944519043;714.9785532951355;1043399.7;764.9272;632.79675;0.0421419319408948;0.043670874;;
63;supply;xgb;63;('gbtree', 100, 1, 1.0, 1.0, 6);24;3.0;1;;;;Adam;;minmax;0.0362946987152099;1057.022578239441;1065643.6;758.84296;632.0909;0.0415457324971899;0.04302756;;
